"","DATE","TIME","CH4_dry","CO2_dry","CO","Fractional_hours","N_points","track_seg_point_id","ele","time","geometry"
"59","2020-11-30","04:08:36.624",1.8587417372,435.59671527,-0.285715840925,"8033.1311",2,251,66.47,2020-11-30 17:07:52,c(174.7255069669, -36.8750342634)
"60","2020-11-30","04:08:41.575",1.85864443495,428.19892234,-0.257349577565,"8033.1325",2,252,65.51,2020-11-30 17:07:57,c(174.7251242492, -36.8751492631)
"61","2020-11-30","04:08:46.463",1.86091334745,422.330550655,-0.310246187775,"8033.1339",2,253,65.51,2020-11-30 17:08:02,c(174.7247864585, -36.8754677754)
"62","2020-11-30","04:08:52.224",1.8489382335,416.41011093,-0.318683070145,"8033.1353",2,254,65.03,2020-11-30 17:08:07,c(174.7245719656, -36.8756748922)
"63","2020-11-30","04:08:57.078",1.8458943708,417.07565961,-0.30516226606,"8033.1367",2,255,61.18,2020-11-30 17:08:12,c(174.7242842987, -36.8759675045)
"64","2020-11-30","04:09:01.977",1.84541486705,416.638314535,-0.31258403034,"8033.1381",2,256,59.26,2020-11-30 17:08:17,c(174.7239422332, -36.8762874417)
"65","2020-11-30","04:09:06.874",1.84504788555,419.532676245,-0.278107611955,"8033.1394",2,257,59.74,2020-11-30 17:08:22,c(174.7237167601, -36.8765015993)
"66","2020-11-30","04:09:12.516",1.83826394955,420.439920975,-0.29872776673,"8033.1408",2,258,62.62,2020-11-30 17:08:27,c(174.7235029377, -36.8767093029)
"67","2020-11-30","04:09:17.446",1.83684459285,414.124056515,-0.32914139088,"8033.1422",2,259,65.03,2020-11-30 17:08:32,c(174.7232446074, -36.8769625202)
"68","2020-11-30","04:09:22.341",1.83850349145,413.804070335,-0.3261006505,"8033.1436",2,260,66.47,2020-11-30 17:08:37,c(174.7230587807, -36.8771449104)
"69","2020-11-30","04:09:33.052",1.83977958175,442.141935385,0.014969461724,"8033.1464",2,262,67.43,2020-11-30 17:08:47,c(174.7225825209, -36.8775867205)
"70","2020-11-30","04:09:37.946",1.83897727595,431.106908885,-0.229767872945,"8033.1478",2,263,67.91,2020-11-30 17:08:52,c(174.7222946864, -36.8778934982)
